Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
50.34409785270691	0	20.12	9.270685	48.0	9.0	20.12	9.270684980086424	1006	1006
145.81903100013733	1	23.833334	12.7146635	60.0	9.0	23.833333333333332	12.714664699184892	1001	2007
291.6192739009857	2	21.51064	10.528326	53.0	9.0	21.51063829787234	10.52832519954952	1011	3018
485.9979169368744	3	20.1	8.457541	53.0	9.0	20.1	8.457541013793549	1005	4023
729.586119890213	4	22.355556	9.459047	49.0	10.0	22.355555555555554	9.459047533811932	1006	5029
1026.1431148052216	5	20.22	8.31935	44.0	9.0	20.22	8.319350936220927	1011	6040
1379.071105003357	6	21.702127	8.986787	42.0	10.0	21.70212765957447	8.986786739352205	1020	7060
1775.684966802597	7	22.90909	11.208394	56.0	9.0	22.90909090909091	11.208394138927918	1008	8068
2224.390781879425	8	20.612246	10.6881895	59.0	9.0	20.612244897959183	10.688189794482605	1010	9078
2718.5584378242493	9	24.512196	10.331391	49.0	13.0	24.51219512195122	10.331391782187403	1005	10083
3270.255057811737	10	23.488373	14.34682	70.0	8.0	23.488372093023255	14.34682055859822	1010	11093
3866.934902906418	11	23.0	11.30366	50.0	8.0	23.0	11.303659906097993	1012	12105
4561.813335895538	12	23.0	13.905457	93.0	9.0	23.0	13.905455840340496	1081	13186
5764.427338838577	13	22.622223	10.824435	58.0	9.0	22.622222222222224	10.824435092037293	1018	14204
6829.221953868866	14	22.977272	13.580548	78.0	9.0	22.977272727272727	13.58054865065814	1011	15215
7979.980184078217	15	22.90909	14.958757	98.0	9.0	22.90909090909091	14.958758732258415	1008	16223
9192.833906888962	16	22.377777	8.749067	43.0	11.0	22.377777777777776	8.749066969654889	1007	17230
10486.726641893387	17	22.48889	10.779862	57.0	9.0	22.488888888888887	10.779862341364355	1012	18242
11854.888796806335	18	24.634146	13.945461	84.0	9.0	24.634146341463413	13.945461885434142	1010	19252
13282.185513973236	19	20.44898	9.087019	44.0	11.0	20.448979591836736	9.08701972762224	1002	20254
14809.540683031082	20	24.95122	15.75723	71.0	10.0	24.951219512195124	15.757230194131163	1023	21277
16400.308696746826	21	21.51064	11.8785925	75.0	9.0	21.51063829787234	11.878592115920373	1011	22288
18144.406206846237	22	21.061224	11.068263	60.0	9.0	21.06122448979592	11.068263442992397	1032	23320
19993.986085891724	23	22.23913	9.475792	46.0	9.0	22.23913043478261	9.475792458792942	1023	24343
21839.19413971901	24	22.333334	11.525817	68.0	8.0	22.333333333333332	11.525816432879903	1005	25348
23836.5503988266	25	18.327272	7.434697	46.0	9.0	18.327272727272728	7.434696412349441	1008	26356
25926.011690855026	26	22.288889	13.450522	81.0	9.0	22.288888888888888	13.450522042280609	1003	27359
28097.207477808	27	23.418604	12.017879	54.0	9.0	23.41860465116279	12.017879235073698	1007	28366
30326.961743831635	28	22.863636	11.781323	56.0	11.0	22.863636363636363	11.781323642819576	1006	29372
32662.29060983658	29	23.581396	11.949959	60.0	10.0	23.58139534883721	11.949958758592908	1014	30386
34954.097260951996	30	19.90196	7.7466116	45.0	9.0	19.901960784313726	7.746611914593688	1015	31401
37302.39796876907	31	18.703703	9.226831	60.0	8.0	18.703703703703702	9.226832106797183	1010	32411
39764.55204772949	32	19.634615	9.294393	53.0	8.0	19.634615384615383	9.294392118480422	1021	33432
42299.230328798294	33	23.651163	10.928699	68.0	11.0	23.651162790697676	10.928698556383091	1017	34449
44889.63547372818	34	25.2	13.720787	73.0	9.0	25.2	13.720787149431333	1008	35457
47584.042202711105	35	21.208334	9.133177	50.0	10.0	21.208333333333332	9.133177462173586	1018	36475
50306.24648594856	36	22.244444	11.446795	61.0	9.0	22.244444444444444	11.446795874936756	1001	37476
53113.90421676636	37	20.916666	9.742162	52.0	9.0	20.916666666666668	9.74216209176496	1004	38480
56053.651367902756	38	21.382978	10.541818	65.0	8.0	21.382978723404257	10.541817824365042	1005	39485
59934.289405822754	39	21.617022	11.32039	54.0	9.0	21.617021276595743	11.320388669910818	1016	40501
