Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
77.17527985572815	0	23.32558	14.861721	76.0	10.0	23.325581395348838	14.861720658828482	1003	1003
223.37705874443054	1	20.87755	10.68402	69.0	10.0	20.877551020408163	10.684019447451384	1023	2026
438.8472788333893	2	20.795918	8.285665	41.0	10.0	20.79591836734694	8.285664019149827	1019	3045
716.8292698860168	3	22.311111	12.650555	72.0	9.0	22.31111111111111	12.65055505540672	1004	4049
1071.3408858776093	4	20.7	9.74115	50.0	8.0	20.7	9.741149829460586	1035	5084
1490.2106869220734	5	21.659575	10.607658	57.0	10.0	21.659574468085108	10.607658003987538	1018	6102
1972.527322769165	6	20.895834	10.083485	54.0	11.0	20.895833333333332	10.083483986477866	1003	7105
2526.0071318149567	7	22.311111	14.914307	95.0	9.0	22.31111111111111	14.914306662056957	1004	8109
3153.8077759742737	8	22.444445	16.507988	111.0	10.0	22.444444444444443	16.507985347913102	1010	9119
3848.1119668483734	9	18.924528	8.0583935	46.0	8.0	18.92452830188679	8.058393155536592	1003	10122
4615.319208860397	10	21.382978	8.469101	40.0	9.0	21.382978723404257	8.469100762356742	1005	11127
5460.623409748077	11	25.225	13.321951	67.0	10.0	25.225	13.32195087064954	1009	12136
6379.574090957642	12	19.48077	8.094372	44.0	10.0	19.48076923076923	8.094372177429548	1013	13149
7384.813827753067	13	23.60465	12.64201	69.0	10.0	23.6046511627907	12.64201105374314	1015	14164
8456.285554885864	14	19.018867	10.385932	77.0	9.0	19.0188679245283	10.385931278885195	1008	15172
9614.316094875336	15	21.723404	10.566309	53.0	10.0	21.72340425531915	10.566309623011414	1021	16193
10888.438519001007	16	19.961538	10.323538	65.0	9.0	19.96153846153846	10.323538336587037	1038	17231
12251.94789981842	17	27.157894	13.021291	65.0	10.0	27.157894736842106	13.021290896854222	1032	18263
13725.95861196518	18	23.72093	12.108665	70.0	9.0	23.72093023255814	12.108666090181222	1020	19283
15213.501777887344	19	18.796297	7.29632	45.0	10.0	18.796296296296298	7.2963197969164675	1015	20298
16779.68559384346	20	20.08	8.8019085	70.0	10.0	20.08	8.80190888387286	1004	21302
18445.896863937378	21	21.76087	15.389415	74.0	8.0	21.76086956521739	15.38941587530166	1001	22303
20219.421677827835	22	23.488373	12.940601	69.0	9.0	23.488372093023255	12.940601497510103	1010	23313
22051.250287771225	23	21.782608	8.20899	41.0	9.0	21.782608695652176	8.208990414751963	1002	24315
23962.156630039215	24	23.534883	10.869948	65.0	10.0	23.53488372093023	10.869947556000447	1012	25327
25973.808243989944	25	20.612246	10.257534	56.0	9.0	20.612244897959183	10.257533471532852	1010	26337
27989.090792894363	26	24.095238	14.69501	74.0	10.0	24.095238095238095	14.695009719547528	1012	27349
30039.17004084587	27	19.72549	10.392453	49.0	10.0	19.725490196078432	10.39245282597424	1006	28355
32154.517004966736	28	23.880953	13.275833	62.0	9.0	23.88095238095238	13.275832645310947	1003	29358
34385.77539205551	29	21.208334	9.981145	49.0	10.0	21.208333333333332	9.981145419684502	1018	30376
36689.27410888672	30	20.26	9.874837	61.0	10.0	20.26	9.874836707510662	1013	31389
39045.13901281357	31	25.025	15.123636	75.0	9.0	25.025	15.123636302159609	1001	32390
41487.92168688774	32	19.705883	9.4480915	63.0	10.0	19.705882352941178	9.44809165843342	1005	33395
44019.75470781326	33	19.80392	9.36623	55.0	9.0	19.80392156862745	9.366229718040413	1010	34405
46683.77697086334	34	22.955555	9.745552	48.0	10.0	22.955555555555556	9.745552958613267	1033	35438
49452.77396988869	35	23.906977	14.438022	92.0	10.0	23.906976744186046	14.438021434841673	1028	36466
53029.732182979584	36	20.44898	8.792532	54.0	8.0	20.448979591836736	8.79253213856775	1002	37468
66845.29517889023	37	21.702127	13.753012	70.0	9.0	21.70212765957447	13.753011111098576	1020	38488
72295.87294483185	38	21.404255	10.80516	61.0	9.0	21.404255319148938	10.805159473786635	1006	39494
74669.81922984123	39	25.4	12.503599	58.0	9.0	25.4	12.503599481749246	1016	40510
