Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
81.05805373191833	0	22.085106	8.514893	41.0	9.0	22.085106382978722	8.514892553723072	1038	1038
229.5696439743042	1	25.575	14.205435	67.0	9.0	25.575	14.205434699438099	1023	2061
446.5934326648712	2	21.702127	11.364212	72.0	10.0	21.70212765957447	11.364212010605968	1020	3081
729.5741498470306	3	23.55814	11.043892	66.0	10.0	23.558139534883722	11.043891978240355	1013	4094
1086.3061707019806	4	22.413044	11.066157	54.0	9.0	22.41304347826087	11.06615696019512	1031	5125
1508.58882188797	5	21.702127	10.748409	50.0	9.0	21.70212765957447	10.74840887505705	1020	6145
2002.6075677871704	6	25.475	11.534703	51.0	10.0	25.475	11.534703073768306	1019	7164
2560.4486317634583	7	20.895834	12.123049	59.0	9.0	20.895833333333332	12.123048955284402	1003	8167
3192.684364795685	8	21.0625	11.327338	65.0	10.0	21.0625	11.32733833475455	1011	9178
3891.3179409503937	9	22.795454	11.862046	61.0	10.0	22.795454545454547	11.862047089647925	1003	10181
4673.1107058525085	10	24.829268	12.771734	64.0	11.0	24.829268292682926	12.771734108864436	1018	11199
5524.4420528411865	11	28.083334	14.695757	62.0	12.0	28.083333333333332	14.69575713523389	1011	12210
6446.809304714203	12	23.511627	12.868516	55.0	9.0	23.511627906976745	12.868515920691152	1011	13221
7444.59791469574	13	23.833334	12.422936	57.0	9.0	23.833333333333332	12.422937055276625	1001	14222
8537.63412475586	14	24.357143	12.5562	68.0	10.0	24.357142857142858	12.556200192148346	1023	15245
9709.21909570694	15	21.4375	9.512943	47.0	10.0	21.4375	9.512943485062864	1029	16274
10962.373545885086	16	23.136364	12.485611	70.0	11.0	23.136363636363637	12.485611553615168	1018	17292
