Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
50.13004803657532	0	23.32558	14.861721	76.0	10.0	23.325581395348838	14.861720658828482	1003	1003
148.11471509933472	1	20.87755	10.68402	69.0	10.0	20.877551020408163	10.684019447451384	1023	2026
296.6850571632385	2	20.795918	8.285665	41.0	10.0	20.79591836734694	8.285664019149827	1019	3045
492.19708704948425	3	22.311111	12.650555	72.0	9.0	22.31111111111111	12.65055505540672	1004	4049
744.9445130825043	4	20.7	9.74115	50.0	8.0	20.7	9.741149829460586	1035	5084
1046.5867002010345	5	21.659575	10.607658	57.0	10.0	21.659574468085108	10.607658003987538	1018	6102
1396.402616262436	6	20.895834	10.083485	54.0	11.0	20.895833333333332	10.083483986477866	1003	7105
1793.7010791301727	7	22.311111	14.914307	95.0	9.0	22.31111111111111	14.914306662056957	1004	8109
2244.2642629146576	8	22.444445	16.507988	111.0	10.0	22.444444444444443	16.507985347913102	1010	9119
2741.112874984741	9	18.924528	8.0583935	46.0	8.0	18.92452830188679	8.058393155536592	1003	10122
3292.8342752456665	10	21.382978	8.469101	40.0	9.0	21.382978723404257	8.469100762356742	1005	11127
3889.6965329647064	11	25.225	13.321951	67.0	10.0	25.225	13.32195087064954	1009	12136
4541.334137201309	12	19.48077	8.094372	44.0	10.0	19.48076923076923	8.094372177429548	1013	13149
5738.203760147095	13	23.60465	12.64201	69.0	10.0	23.6046511627907	12.64201105374314	1015	14164
6789.462419986725	14	19.018867	10.385932	77.0	9.0	19.0188679245283	10.385931278885195	1008	15172
7956.161375999451	15	21.723404	10.566309	53.0	10.0	21.72340425531915	10.566309623011414	1021	16193
9204.99500799179	16	19.961538	10.323538	65.0	9.0	19.96153846153846	10.323538336587037	1038	17231
10528.766307115555	17	27.157894	13.021291	65.0	10.0	27.157894736842106	13.021290896854222	1032	18263
11913.63695526123	18	23.72093	12.108665	70.0	9.0	23.72093023255814	12.108666090181222	1020	19283
13363.273369073868	19	18.796297	7.29632	45.0	10.0	18.796296296296298	7.2963197969164675	1015	20298
14865.323491096497	20	20.08	8.8019085	70.0	10.0	20.08	8.80190888387286	1004	21302
16442.30384206772	21	21.76087	15.389415	74.0	8.0	21.76086956521739	15.38941587530166	1001	22303
