Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
47.81586670875549	0	20.12	9.270685	48.0	9.0	20.12	9.270684980086424	1006	1006
139.304584980011	1	23.833334	12.7146635	60.0	9.0	23.833333333333332	12.714664699184892	1001	2007
278.0079278945923	2	21.51064	10.528326	53.0	9.0	21.51063829787234	10.52832519954952	1011	3018
462.9360980987549	3	20.1	8.457541	53.0	9.0	20.1	8.457541013793549	1005	4023
693.5308909416199	4	22.355556	9.459047	49.0	10.0	22.355555555555554	9.459047533811932	1006	5029
971.6072807312012	5	20.22	8.31935	44.0	9.0	20.22	8.319350936220927	1011	6040
1302.6660900115967	6	21.702127	8.986787	42.0	10.0	21.70212765957447	8.986786739352205	1020	7060
1679.7426648139954	7	22.90909	11.208394	56.0	9.0	22.90909090909091	11.208394138927918	1008	8068
2105.4557268619537	8	20.612246	10.6881895	59.0	9.0	20.612244897959183	10.688189794482605	1010	9078
2574.7537190914154	9	24.512196	10.331391	49.0	13.0	24.51219512195122	10.331391782187403	1005	10083
3092.8569190502167	10	23.488373	14.34682	70.0	8.0	23.488372093023255	14.34682055859822	1010	11093
3659.7885508537292	11	23.0	11.30366	50.0	8.0	23.0	11.303659906097993	1012	12105
4321.1986627578735	12	23.0	13.905457	93.0	9.0	23.0	13.905455840340496	1081	13186
5003.999616861343	13	22.622223	10.824435	58.0	9.0	22.622222222222224	10.824435092037293	1018	14204
5731.724926948547	14	22.977272	13.580548	78.0	9.0	22.977272727272727	13.58054865065814	1011	15215
6505.581669807434	15	22.90909	14.958757	98.0	9.0	22.90909090909091	14.958758732258415	1008	16223
7329.374638080597	16	22.377777	8.749067	43.0	11.0	22.377777777777776	8.749066969654889	1007	17230
8208.364331007004	17	22.48889	10.779862	57.0	9.0	22.488888888888887	10.779862341364355	1012	18242
9133.006901979446	18	24.634146	13.945461	84.0	9.0	24.634146341463413	13.945461885434142	1010	19252
10097.644386053085	19	20.44898	9.087019	44.0	11.0	20.448979591836736	9.08701972762224	1002	20254
11131.181767940521	20	24.95122	15.75723	71.0	10.0	24.951219512195124	15.757230194131163	1023	21277
12201.567257881165	21	21.51064	11.8785925	75.0	9.0	21.51063829787234	11.878592115920373	1011	22288
13345.45110487938	22	21.061224	11.068263	60.0	9.0	21.06122448979592	11.068263442992397	1032	23320
14528.791824817657	23	22.23913	9.475792	46.0	9.0	22.23913043478261	9.475792458792942	1023	24343
15744.022795915604	24	22.333334	11.525817	68.0	8.0	22.333333333333332	11.525816432879903	1005	25348
17023.338485002518	25	18.327272	7.434697	46.0	9.0	18.327272727272728	7.434696412349441	1008	26356
18502.904862880707	26	22.288889	13.450522	81.0	9.0	22.288888888888888	13.450522042280609	1003	27359
19991.91843509674	27	23.418604	12.017879	54.0	9.0	23.41860465116279	12.017879235073698	1007	28366
21497.51194190979	28	22.863636	11.781323	56.0	11.0	22.863636363636363	11.781323642819576	1006	29372
23412.031117916107	29	23.581396	11.949959	60.0	10.0	23.58139534883721	11.949958758592908	1014	30386
25056.324133872986	30	19.90196	7.7466116	45.0	9.0	19.901960784313726	7.746611914593688	1015	31401
56228.38492178917	31	18.703703	9.226831	60.0	8.0	18.703703703703702	9.226832106797183	1010	32411
57956.27002501488	32	19.634615	9.294393	53.0	8.0	19.634615384615383	9.294392118480422	1021	33432
61853.019267082214	33	23.651163	10.928699	68.0	11.0	23.651162790697676	10.928698556383091	1017	34449
63703.27579689026	34	25.2	13.720787	73.0	9.0	25.2	13.720787149431333	1008	35457
65623.6865029335	35	21.208334	9.133177	50.0	10.0	21.208333333333332	9.133177462173586	1018	36475
67574.14311599731	36	22.244444	11.446795	61.0	9.0	22.244444444444444	11.446795874936756	1001	37476
69573.72009801865	37	20.916666	9.742162	52.0	9.0	20.916666666666668	9.74216209176496	1004	38480
79374.31706190109	38	21.382978	10.541818	65.0	8.0	21.382978723404257	10.541817824365042	1005	39485
81613.89395999908	39	21.617022	11.32039	54.0	9.0	21.617021276595743	11.320388669910818	1016	40501
