Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
77.2678279876709	0	20.12	9.270685	48.0	9.0	20.12	9.270684980086424	1006	1006
219.89041090011597	1	23.833334	12.7146635	60.0	9.0	23.833333333333332	12.714664699184892	1001	2007
431.93931794166565	2	21.51064	10.528326	53.0	9.0	21.51063829787234	10.52832519954952	1011	3018
708.7258849143982	3	20.1	8.457541	53.0	9.0	20.1	8.457541013793549	1005	4023
1050.6167809963226	4	22.355556	9.459047	49.0	10.0	22.355555555555554	9.459047533811932	1006	5029
1463.153101682663	5	20.22	8.31935	44.0	9.0	20.22	8.319350936220927	1011	6040
1949.9001338481903	6	21.702127	8.986787	42.0	10.0	21.70212765957447	8.986786739352205	1020	7060
2503.509463071823	7	22.90909	11.208394	56.0	9.0	22.90909090909091	11.208394138927918	1008	8068
3130.328848838806	8	20.612246	10.6881895	59.0	9.0	20.612244897959183	10.688189794482605	1010	9078
3823.692962884903	9	24.512196	10.331391	49.0	13.0	24.51219512195122	10.331391782187403	1005	10083
4592.947623968124	10	23.488373	14.34682	70.0	8.0	23.488372093023255	14.34682055859822	1010	11093
5438.220559835434	11	23.0	11.30366	50.0	8.0	23.0	11.303659906097993	1012	12105
6420.38042807579	12	23.0	13.905457	93.0	9.0	23.0	13.905455840340496	1081	13186
7433.003629684448	13	22.622223	10.824435	58.0	9.0	22.622222222222224	10.824435092037293	1018	14204
8511.692106962204	14	22.977272	13.580548	78.0	9.0	22.977272727272727	13.58054865065814	1011	15215
9657.109236001968	15	22.90909	14.958757	98.0	9.0	22.90909090909091	14.958758732258415	1008	16223
10891.701262712479	16	22.377777	8.749067	43.0	11.0	22.377777777777776	8.749066969654889	1007	17230
