Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
48.78361701965332	0	23.32558	14.861721	76.0	10.0	23.325581395348838	14.861720658828482	1003	1003
144.6079728603363	1	20.87755	10.68402	69.0	10.0	20.877551020408163	10.684019447451384	1023	2026
293.9394738674164	2	20.795918	8.285665	41.0	10.0	20.79591836734694	8.285664019149827	1019	3045
488.196298122406	3	22.311111	12.650555	72.0	9.0	22.31111111111111	12.65055505540672	1004	4049
732.4027810096741	4	20.7	9.74115	50.0	8.0	20.7	9.741149829460586	1035	5084
1017.5126779079437	5	21.659575	10.607658	57.0	10.0	21.659574468085108	10.607658003987538	1018	6102
1347.9633831977844	6	20.895834	10.083485	54.0	11.0	20.895833333333332	10.083483986477866	1003	7105
1766.916181087494	7	22.311111	14.914307	95.0	9.0	22.31111111111111	14.914306662056957	1004	8109
2230.8067939281464	8	22.444445	16.507988	111.0	10.0	22.444444444444443	16.507985347913102	1010	9119
2741.4610278606415	9	18.924528	8.0583935	46.0	8.0	18.92452830188679	8.058393155536592	1003	10122
3276.739946126938	10	21.382978	8.469101	40.0	9.0	21.382978723404257	8.469100762356742	1005	11127
3863.6111991405487	11	25.225	13.321951	67.0	10.0	25.225	13.32195087064954	1009	12136
4533.43501496315	12	19.48077	8.094372	44.0	10.0	19.48076923076923	8.094372177429548	1013	13149
5279.954988002777	13	23.60465	12.64201	69.0	10.0	23.6046511627907	12.64201105374314	1015	14164
6067.0510149002075	14	19.018867	10.385932	77.0	9.0	19.0188679245283	10.385931278885195	1008	15172
6924.059299230576	15	21.723404	10.566309	53.0	10.0	21.72340425531915	10.566309623011414	1021	16193
7836.836196899414	16	19.961538	10.323538	65.0	9.0	19.96153846153846	10.323538336587037	1038	17231
8740.520050048828	17	27.157894	13.021291	65.0	10.0	27.157894736842106	13.021290896854222	1032	18263
9682.883372068405	18	23.72093	12.108665	70.0	9.0	23.72093023255814	12.108666090181222	1020	19283
10667.683197975159	19	18.796297	7.29632	45.0	10.0	18.796296296296298	7.2963197969164675	1015	20298
11690.875950813293	20	20.08	8.8019085	70.0	10.0	20.08	8.80190888387286	1004	21302
12761.381677865982	21	21.76087	15.389415	74.0	8.0	21.76086956521739	15.38941587530166	1001	22303
13893.668231010437	22	23.488373	12.940601	69.0	9.0	23.488372093023255	12.940601497510103	1010	23313
15067.672972202301	23	21.782608	8.20899	41.0	9.0	21.782608695652176	8.208990414751963	1002	24315
16306.862923145294	24	23.534883	10.869948	65.0	10.0	23.53488372093023	10.869947556000447	1012	25327
17597.05575609207	25	20.612246	10.257534	56.0	9.0	20.612244897959183	10.257533471532852	1010	26337
18955.816887140274	26	24.095238	14.69501	74.0	10.0	24.095238095238095	14.695009719547528	1012	27349
20356.168456077576	27	19.72549	10.392453	49.0	10.0	19.725490196078432	10.39245282597424	1006	28355
21805.632395982742	28	23.880953	13.275833	62.0	9.0	23.88095238095238	13.275832645310947	1003	29358
23331.11434984207	29	21.208334	9.981145	49.0	10.0	21.208333333333332	9.981145419684502	1018	30376
24899.84341621399	30	20.26	9.874837	61.0	10.0	20.26	9.874836707510662	1013	31389
26503.3072578907	31	25.025	15.123636	75.0	9.0	25.025	15.123636302159609	1001	32390
28162.598400115967	32	19.705883	9.4480915	63.0	10.0	19.705882352941178	9.44809165843342	1005	33395
35087.0809879303	33	19.80392	9.36623	55.0	9.0	19.80392156862745	9.366229718040413	1010	34405
38250.04350018501	34	22.955555	9.745552	48.0	10.0	22.955555555555556	9.745552958613267	1033	35438
47505.3707511425	35	23.906977	14.438022	92.0	10.0	23.906976744186046	14.438021434841673	1028	36466
49462.543974876404	36	20.44898	8.792532	54.0	8.0	20.448979591836736	8.79253213856775	1002	37468
51489.75531291962	37	21.702127	13.753012	70.0	9.0	21.70212765957447	13.753011111098576	1020	38488
59577.30589199066	38	21.404255	10.80516	61.0	9.0	21.404255319148938	10.805159473786635	1006	39494
61848.54115319252	39	25.4	12.503599	58.0	9.0	25.4	12.503599481749246	1016	40510
64045.3519179821	40	21.404255	8.974337	52.0	9.0	21.404255319148938	8.97433592509854	1006	41516
